Knjiga,Originalni naslov,Avtor(ji),Žanri
Knjiga 99,Embroideries,"Marjane Satrapi, Marjane Satrapi","Comics, Feminism, Graphic Novels, Graphic Novels Comics, Iran, Memoir, Nonfiction"
Knjiga 100,Sickened: The Memoir of a Munchausen by Proxy Childhood,"Julie Gregory, Marc D. Feldman, Julie Gregory","Biography, Biography Memoir, Memoir, Mental Health, Mental Illness, Nonfiction, Psychology"
Knjiga 101,"To Sir Phillip, With Love","Julia Quinn, Julia Quinn","Audiobook, Fiction, Historical, Historical Fiction, Historical Romance, Regency, Romance"
Knjiga 102,Kushiel's Avatar,"Jacqueline Carey, Jacqueline Carey","Epic Fantasy, Erotica, Fantasy, Fantasy Romance, Fiction, High Fantasy, Romance"
Knjiga 103,Imitation in Death,"J.D. Robb, J.D. Robb","Crime, Fiction, Futuristic, Mystery, Romance, Romantic Suspense, Suspense"
Knjiga 104,Birthright,"Nora Roberts, Nora Roberts","Contemporary, Contemporary Romance, Fiction, Mystery, Romance, Romantic Suspense, Suspense"
Knjiga 105,Franz Kafka's The Castle,"David Fishelson, Aaron Leichter, Max Brod, David Fishelson","Classics, Czech Literature, Fiction, German Literature, Literature, Novels, Philosophy"
Knjiga 106,The Castle,"Franz Kafka, Mark Harman, Franz Kafka","Classics, Czech Literature, Fiction, German Literature, Literature, Novels, Philosophy"
Knjiga 107,The Capture,"Kathryn Lasky, Kathryn Lasky","Adventure, Animals, Childrens, Fantasy, Fiction, Middle Grade, Young Adult"
Knjiga 108,The Full Cupboard of Life,"Alexander McCall Smith, Alexander McCall Smith","Africa, Audiobook, Botswana, Crime, Detective, Fiction, Mystery"
Knjiga 109,Winterkill,"C.J. Box, C.J. Box","Audiobook, Crime, Fiction, Mystery, Mystery Thriller, Thriller, Westerns"
Knjiga 110,Vernon God Little,"D.B.C. Pierre, D.B.C. Pierre","Coming Of Age, Contemporary, Fiction, Humor, Literary Fiction, Literature, Novels"
Knjiga 111,The Tail of Emily Windsnap,"Liz Kessler, Sarah Gibb, Liz Kessler","Adventure, Childrens, Fantasy, Fiction, Mermaids, Middle Grade, Young Adult"
Knjiga 112,The Kite Runner,"Khaled Hosseini, Khaled Hosseini","Book Club, Classics, Contemporary, Fiction, Historical, Historical Fiction, Novels"
Knjiga 113,"To Sir Phillip, With Love","Julia Quinn, Julia Quinn","Audiobook, Fiction, Historical, Historical Fiction, Historical Romance, Regency, Romance"
Knjiga 114,What Was She Thinking? [Notes on a Scandal],"Zoë Heller, Zoë Heller","Audiobook, Book Club, British Literature, Contemporary, Fiction, Literary Fiction, Novels"
Knjiga 115,Oryx and Crake,"Margaret Atwood, Margaret Atwood","Audiobook, Book Club, Dystopia, Fantasy, Fiction, Post Apocalyptic, Science Fiction"
Knjiga 116,Shantaram,"Gregory David Roberts, Gregory David Roberts","Adventure, Contemporary, Fiction, Historical Fiction, India, Novels, Travel"
Knjiga 117,The City of Ember,"Jeanne DuPrau, Jeanne DuPrau","Childrens, Dystopia, Fantasy, Fiction, Middle Grade, Science Fiction, Young Adult"
Knjiga 118,We Need to Talk About Kevin,"Lionel Shriver, Lionel Shriver","Book Club, Contemporary, Crime, Drama, Fiction, Horror, Thriller"
Knjiga 119,The Namesake,"Jhumpa Lahiri, Jhumpa Lahiri","Book Club, Contemporary, Fiction, India, Indian Literature, Literary Fiction, Novels"
Knjiga 120,Benjamin Franklin: An American Life,"Walter Isaacson, Walter Isaacson","American History, Audiobook, Biography, Biography Memoir, History, Nonfiction, Politics"
Knjiga 121,Shutter Island,"Dennis Lehane, Dennis Lehane","Crime, Fiction, Horror, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 122,A Great and Terrible Beauty,"Libba Bray, Libba Bray","Fantasy, Fiction, Historical, Historical Fiction, Paranormal, Romance, Young Adult"
Knjiga 123,Under the Banner of Heaven: A Story of Violent Faith,"Jon Krakauer, Jon Krakauer","Audiobook, Book Club, Crime, History, Nonfiction, Religion, True Crime"
Knjiga 124,The Da Vinci Code,"Dan    Brown, Dan    Brown","Adventure, Fiction, Historical Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 125,Persepolis: The Story of a Childhood,"Marjane Satrapi, Mattias Ripa, Marjane Satrapi","Biography, Comics, Graphic Novels, History, Memoir, Nonfiction, School"
Knjiga 126,Odd Thomas,"Dean Koontz, Dean Koontz","Fantasy, Fiction, Horror, Mystery, Paranormal, Supernatural, Thriller"
Knjiga 127,A Million Little Pieces,"James Frey, James Frey","Addiction, Biography Memoir, Book Club, Contemporary, Fiction, Mental Health, Psychology"
Knjiga 128,Harry Potter and the Order of the Phoenix,"J.K. Rowling, J.K. Rowling","Audiobook, Childrens, Fantasy, Fiction, Harry Potter, Magic, Young Adult"
Knjiga 129,The Tale of Despereaux,"Kate DiCamillo, Timothy Basil Ering, Kate DiCamillo","Adventure, Animals, Childrens, Fantasy, Fiction, Middle Grade, Young Adult"
Knjiga 130,Club Dead,"Charlaine Harris, Charlaine Harris","Fantasy, Fiction, Mystery, Paranormal, Romance, Urban Fantasy, Vampires"
Knjiga 131,The Guardian,"Nicholas Sparks, Nicholas Sparks","Adult, Adult Fiction, Chick Lit, Contemporary, Contemporary Romance, Fiction, Romance"
Knjiga 132,Eleven Minutes,"Paulo Coelho, Margaret Jull Costa, Paulo Coelho","Adult, Contemporary, Fiction, Literature, Novels, Philosophy, Romance"
Knjiga 133,Wolves of the Calla,"Stephen  King, Bernie Wrightson, Stephen  King","Adventure, Audiobook, Fantasy, Fiction, Horror, Science Fiction, Westerns"
Knjiga 134,Purple Hibiscus,"Chimamanda Ngozi Adichie, Chimamanda Ngozi Adichie","Africa, Book Club, Contemporary, Fiction, Historical Fiction, Literary Fiction, Nigeria"
Knjiga 135,The Da Vinci Code,"Dan    Brown, Dan    Brown","Adventure, Fiction, Historical Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 136,Purple Hibiscus,"Chimamanda Ngozi Adichie, Chimamanda Ngozi Adichie","Africa, Book Club, Contemporary, Fiction, Historical Fiction, Literary Fiction, Nigeria"
Knjiga 137,The Wedding,"Nicholas Sparks, Nicholas Sparks","Adult, Adult Fiction, Chick Lit, Contemporary, Contemporary Romance, Fiction, Romance"
Knjiga 138,Reading Lolita in Tehran: A Memoir in Books,"Azar Nafisi, Azar Nafisi","Biography, Book Club, Feminism, Iran, Memoir, Middle East, Nonfiction"
Knjiga 139,Emotional Intelligence 2.0,"Travis Bradberry, Jean Greaves, Travis Bradberry","Business, Leadership, Nonfiction, Personal Development, Professional Development, Psychology, Self Help"
Knjiga 140,Moloka'i,"Alan Brennert, Alan Brennert","Adult, Adult Fiction, Audiobook, Book Club, Fiction, Historical, Historical Fiction"
Knjiga 141,Three Wishes,"Liane Moriarty, Liane Moriarty","Audiobook, Australia, Book Club, Chick Lit, Contemporary, Fiction, Romance"
Knjiga 142,"Ouran High School Host Club, Vol. 1","Bisco Hatori, Bisco Hatori","Comedy, Comics, Fiction, Graphic Novels, Manga, Romance, Young Adult"
Knjiga 143,Maisie Dobbs,"Jacqueline Winspear, Jacqueline Winspear","Audiobook, Book Club, Fiction, Historical, Historical Fiction, Mystery, Mystery Thriller"
Knjiga 144,Moneyball,"Michael   Lewis, Michael   Lewis","Audiobook, Baseball, Biography, Business, Economics, Nonfiction, Sports"
Knjiga 145,This is Where I Leave You,"Jonathan Tropper, Jonathan Tropper","Adult, Adult Fiction, Book Club, Contemporary, Family, Fiction, Humor"
Knjiga 146,The Da Vinci Code,"Dan    Brown, Dan    Brown","Adventure, Fiction, Historical Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 147,Harry Potter and the Chamber of Secrets: Sheet Music for Flute with CD,"John   Williams, John   Williams","Childrens, Fantasy, Fiction, Harry Potter, Magic, Music, Young Adult"
Knjiga 148,Crossroads of Twilight,"Robert Jordan, Robert Jordan","Audiobook, Epic, Epic Fantasy, Fantasy, Fiction, High Fantasy, Science Fiction Fantasy"
Knjiga 149,Between Sisters,"Kristin Hannah, Kristin Hannah","Audiobook, Book Club, Chick Lit, Contemporary, Family, Fiction, Romance"
Knjiga 150,Blankets,"Craig Thompson, Craig Thompson","Comics, Coming Of Age, Fiction, Graphic Novels, Graphic Novels Comics, Romance, Young Adult"
Knjiga 151,The Slippery Slope,"Lemony Snicket, Brett Helquist, Lemony Snicket","Audiobook, Childrens, Fantasy, Fiction, Middle Grade, Mystery, Young Adult"
Knjiga 152,The Goose Girl,"Shannon Hale, Shannon Hale","Fairy Tales, Fantasy, Fiction, Middle Grade, Retellings, Romance, Young Adult"
Knjiga 153,The Amulet of Samarkand,"Jonathan Stroud, Jonathan Stroud","Adventure, Audiobook, Fantasy, Fiction, Magic, Middle Grade, Young Adult"
Knjiga 154,Into the Wild,"Erin Hunter, Erin Hunter","Animals, Cats, Childrens, Fantasy, Fiction, Middle Grade, Young Adult"
Knjiga 155,"Harry Potter Boxed Set, Books 1-5","J.K. Rowling, Mary GrandPré, J.K. Rowling","Adventure, Childrens, Fantasy, Fiction, Harry Potter, Magic, Young Adult"
Knjiga 156,The Eternity Code,"Eoin Colfer, Eoin Colfer","Adventure, Childrens, Fantasy, Fiction, Middle Grade, Science Fiction, Young Adult"
Knjiga 157,The Da Vinci Code,"Dan    Brown, Dan    Brown","Adventure, Fiction, Historical Fiction, Mystery, Mystery Thriller, Suspense, Thriller"
Knjiga 158,True Believer,"Nicholas Sparks, Nicholas Sparks","Adult, Adult Fiction, Chick Lit, Contemporary, Contemporary Romance, Fiction, Romance"
